species,age_min,age_max,fuel_bed,ecoboundaries
Black spruce,0,30,C1,"4,5,11,16,6,9,12,17"
Black spruce,31,130,C2,"4,5,11,16,6,9,12,17"
Black spruce,131,9999,C2,"4,5,11,16,6,9,12,17"
"White spruce,Engelmann spruce,Red spruce,Norway spruce,Subalpine fir (or alpine fir)",0,30,D1,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"White spruce,Engelmann spruce,Red spruce,Norway spruce,Subalpine fir (or alpine fir)",31,9999,C2,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Balsam fir,0,30,M1,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Balsam fir,31,50,C2,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Balsam fir,51,9999,C4,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"Jack pine,Lodgepole pine,Red pine",0,20,C7,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"Jack pine,Lodgepole pine,Red pine",21,9999,C4,"6,9,12,17"
"Jack pine,Lodgepole pine,Red pine",21,9999,C3,"4,5,7,8,10,11,13,14,15,16,18"
Amabilis fir,0,30,D1,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Amabilis fir,31,9999,C2,"6,9,12,17"
Amabilis fir,31,9999,C5,"4,5,7,8,10,11,13,14,15,16,18"
Western larch,0,30,D1,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Western larch,31,9999,M2,"6,9,12,17"
Western larch,31,9999,C5,"4,5,7,8,10,11,13,14,15,16,18"
"Western hemlock,Mountain hemlock,Western redcedar,Sitka spruce",0,30,D1,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"Western hemlock,Mountain hemlock,Western redcedar,Sitka spruce",31,70,C5,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"Western hemlock,Mountain hemlock,Western redcedar,Sitka spruce",71,9999,C3,"6,9,12,17"
"Western hemlock,Mountain hemlock,Western redcedar,Sitka spruce",71,9999,C5,"4,5,7,8,10,11,13,14,15,16,18"
"Ponderosa pine,Whitebark pine",0,9999,C7,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"Eastern hemlock,Eastern white-cedar",0,30,C7,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"Eastern hemlock,Eastern white-cedar",31,9999,C5,"6,9,12,17"
"Eastern hemlock,Eastern white-cedar",31,9999,C7,"4,5,7,8,10,11,13,14,15,16,18"
Douglas-fir - Genus type,0,40,C7,"4,5,6,7,8,9,10,11,12,14,15,16,17,18"
Douglas-fir - Genus type,41,60,C3,"4,5,6,7,8,9,10,11,12,14,15,16,17,18"
Douglas-fir - Genus type,61,9999,C4,"4,5,6,7,8,9,10,11,12,14,15,16,17,18"
Douglas-fir - Genus type,0,25,D1,13
Douglas-fir - Genus type,26,40,C7,13
Douglas-fir - Genus type,41,60,C3,13
Douglas-fir - Genus type,61,9999,C5,13
"Red maple,Red alder,Yellow birch,White birch,Eastern redcedar,Tamarack,Balsam poplar,Trembling aspen",41,9999,C4,"6,9,12,17"
"Red maple,Red alder,Yellow birch,White birch,Eastern redcedar,Tamarack,Balsam poplar,Trembling aspen",41,9999,M2,"4,5,7,8,10,11,13,14,15,16,18"
"Red maple,Red alder,Yellow birch,White birch,Eastern redcedar,Tamarack,Balsam poplar,Trembling aspen",0,40,C1,"6,9,12,17"
"Red maple,Red alder,Yellow birch,White birch,Eastern redcedar,Tamarack,Balsam poplar,Trembling aspen",0,40,C2,"7,8,10,13,14,15,18"
